rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range
-152.98000000000005,706,278,96,196608,400.0,-0.022262265434255822,0.018022463,950,0.9883314967155457,2.6671654015779493,0.5997312664985657,0.0003,-1.1233501851558685,0.18359375,0.2
-153.29500000000002,714,277,97,198656,400.0,-0.01795230351272039,0.013505321,960,0.9927546977996826,2.259236016869545,0.9341443181037903,0.0003,-1.1207605376839638,0.112744140625,0.2
-152.026,723,277,98,200704,400.0,-0.023089273564983158,0.019321905,970,0.9860392212867737,2.731079523265362,0.6598851084709167,0.0003,-1.10085881203413,0.180517578125,0.2
-152.029,732,276,99,202752,400.0,-0.019167091441340746,0.025708718,980,0.9802576303482056,3.6264942228794097,0.9500303864479065,0.0003,-1.0763409793376923,0.18466796875,0.2
-151.64800000000002,739,276,100,204800,400.0,-0.013281353376805782,0.020602345,990,0.9896547198295593,2.0577864669263364,0.45599257946014404,0.0003,-1.1093277364969254,0.250244140625,0.2
-152.08,747,276,101,206848,400.0,-0.012314817568403668,0.030326437,1000,0.967811644077301,4.166138568520546,0.6874266862869263,0.0003,-1.082867157459259,0.27548828125,0.2
-152.18200000000002,754,276,102,208896,400.0,-0.016220347967464476,0.016116332,1010,0.9924936294555664,2.1209013842046263,0.4872344732284546,0.0003,-1.118636004626751,0.2169921875,0.2
-151.936,763,276,103,210944,400.0,-0.023189887590706348,0.023499295,1020,0.9908134341239929,1.7465377688407897,0.42490094900131226,0.0003,-1.0784559860825538,0.2083984375,0.2
-151.50100000000003,774,274,104,212992,400.0,-0.027140794222941623,0.029547617,1030,0.9878208041191101,2.213816011697054,0.6523500084877014,0.0003,-1.0797833621501922,0.296337890625,0.2
-151.549,782,274,105,215040,400.0,-0.017457863152958452,0.024811475,1040,0.9840360283851624,2.040699737519026,0.3642626404762268,0.0003,-1.074755348265171,0.2703125,0.2
