rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate
99.6,197,-36.785,114688,56,580,0.196923828125,-0.018110456183785574,0.3503309488296509,550,-1.0223651766777038,0.2,0.026637657,4.8541669845581055,24.486533772945403,0.0003
98.67,201,-36.228500000000004,116736,57,580,0.2552734375,-0.009821611834922805,0.4755648970603943,560,-1.013246939331293,0.2,0.045675315,7.0041351318359375,27.305197024345397,0.0003
100.01,204,-37.1415,118784,58,580,0.185595703125,-0.012158947717398404,0.0666583776473999,570,-0.9638930708169937,0.2,0.029200215,9.531285285949707,27.180065643787383,0.0003
101.09,208,-36.8085,120832,59,580,0.21123046875,-0.012136740615824237,0.3046916127204895,580,-1.0982612192630767,0.2,0.02497887,3.718965768814087,21.190430295467376,0.0003
99.58,211,-34.816,122880,60,580,0.206005859375,-0.013079204235691578,0.36949092149734497,590,-1.0473815023899078,0.2,0.018923266,8.824783325195312,34.297105479240415,0.0003
98.69,215,-33.4995,124928,61,580,0.158447265625,-0.011381957959383727,0.2636871933937073,600,-0.9546651884913444,0.2,0.019413369,4.566965579986572,25.49723427891731,0.0003
95.25,218,-30.147500000000004,126976,62,580,0.212841796875,-0.015561608650023118,0.23107963800430298,610,-0.9878554530441761,0.2,0.01694148,7.063201904296875,30.7740439414978,0.0003
92.32,222,-28.362999999999996,129024,63,580,0.208740234375,-0.015754989755805582,-0.07789993286132812,620,-0.9623833850026131,0.2,0.02754341,3.538609266281128,23.62655484676361,0.0003
93.07,226,-29.384500000000003,131072,64,579,0.15556640625,-0.010285542358178645,0.38161545991897583,630,-1.000070472806692,0.2,0.01923785,5.458683013916016,27.104614543914796,0.0003
93.66,229,-29.831,133120,65,579,0.186474609375,-0.014183336767018773,0.3835800290107727,640,-0.9903442390263081,0.2,0.028930139,5.253795146942139,24.847997057437897,0.0003
88.77,233,-25.185499999999998,135168,66,579,0.169677734375,-0.012917186800041235,0.5344380140304565,650,-1.0381054244935513,0.2,0.026895229,5.92210578918457,26.169697952270507,0.0003
91.81,236,-27.335500000000007,137216,67,579,0.238037109375,-0.022914016919094136,0.43938004970550537,660,-0.94611022695899,0.2,0.029482707,6.7866315841674805,27.674156224727632,0.0003
